ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,0.0,0.0,3.207,3.232,0.634,1.0,-0.2754,0.9805,-0.375,-0.3853,0.3257,0.4644,1.60400001,-0.4565,-0.4084,1.658,-0.825,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.301,0.435,-0.586,0.0875,-1.0,0.0,0.0,0.4155,0.3984,0.359,0.0,0.0,0.0,0.0,0.0,1.892,-0.5716387999999999,,,
0.771,0.1493,-1.958,-0.3145,0.2966,-0.875,-1.52,1.0,0.0,3.207,3.232,0.5186,0.0,-0.2734,0.627,-0.375,-0.3853,0.3257,0.4644,-1.55499999,-0.4565,1.604,-0.4084,1.658,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.302,0.435,-0.586,-0.07227,-1.0,-0.5,0.0,0.4155,0.3984,0.359,-0.5,1.0,0.0,0.0,0.0,-1.145,0.1472292,,,
0.771,0.1879,-1.958,-0.3145,0.2966,-0.75,-1.52,1.0,0.0,3.207,3.232,0.5474,0.0,-0.2715,0.6074,-0.375,-0.3853,0.363,0.4878,0.39380001,-0.4565,-1.555,1.604,-0.4087,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3018,0.435,-0.599,0.0123,0.0,-0.5,0.5,0.2185,0.475,0.359,0.0,0.0,0.0,0.0,0.0,0.4387,0.9027612,,,
0.678,0.794,-1.958,-0.3145,2.348,-0.625,-1.52,1.0,0.0,3.207,3.232,0.634,1.0,-0.2754,1.383,-0.375,-0.3853,0.88,0.498,1.58600001,-0.4565,0.3936,-1.555,1.604,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3008,0.435,-0.598,0.1188,0.0,0.0,0.5,-0.332,1.048,0.359,0.5,0.0,0.0,0.0,0.0,2.469,0.4058452000000001,,,
0.699,1.043,-1.958,-0.3145,0.446,-0.5,-1.52,1.0,0.0,3.207,3.232,0.634,1.0,-0.2754,1.331,-0.375,-0.3853,1.067,0.4712,0.75500001,-0.4565,1.586,0.3936,-1.555,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3005,0.3545,-0.5703,0.07184,1.0,0.5,0.5,-0.518,1.232,0.359,1.0,0.0,0.0,0.0,0.0,1.506,-0.4074984,,,
0.866,0.423,-1.958,-0.3145,-0.471,-0.375,-1.52,1.0,0.0,3.207,3.232,0.55,0.0,-0.2734,1.839,-0.375,-0.3853,0.3638,0.4905,-1.13299999,-0.4565,0.755,1.586,0.3936,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3013,0.06805,-0.4727,-0.1434,0.0,0.0,0.0,0.04562,0.712,0.359,-0.5,1.0,0.0,0.0,0.0,-2.385,0.17564,,,
0.8745,0.5547,-1.958,-0.3145,0.4111,-0.25,-1.52,1.0,0.0,3.207,3.232,0.5776,0.0,-0.2715,0.1092,-0.375,-0.3853,0.5127,0.4963,0.37670001,-0.4565,-1.133,0.755,1.586,-0.3953,-0.388,0.0,-1.0,-0.3892,0.0,-0.3013,0.06805,-0.4724,0.01294,1.0,0.5,0.0,-0.06934,0.786,0.359,0.0,0.0,0.0,0.0,0.0,0.432,-0.0053651999999999,,,
0.809,0.472,-1.958,-0.3145,-0.0031,-0.125,-1.52,1.0,0.0,3.207,3.232,0.5776,0.0,-0.2698,-0.3154,-0.375,-0.3853,0.446,0.5063,-0.00946999,-0.4565,0.3767,-1.133,0.755,-0.3953,-0.388,0.0,0.0,-0.3892,0.0,-0.3013,0.1954,-0.516,-0.01069,0.0,0.5,0.0,-0.0677,0.6567,0.359,-0.5,0.0,0.0,0.0,0.0,-0.005108,-0.5599968000000003,,,
0.8403,0.00618,-1.958,-0.3145,-0.756,0.0,-1.52,1.0,0.0,3.207,3.232,0.522,0.0,-0.2678,0.7866,-0.375,-0.3853,-0.013214,0.5186,-0.77399999,-0.4565,-0.00959,0.3767,-1.133,-0.3953,-0.388,0.0,0.0,-0.3892,0.0,-0.3018,0.2646,-0.5405,-0.05032,-1.0,0.0,0.0,0.2191,0.2249,0.1019,-0.5,1.0,0.0,0.0,0.0,-0.731,0.1341264,,,
0.707,-0.02042,-1.958,-0.3145,-0.0941,0.125,-1.52,1.0,0.0,3.207,3.232,0.522,0.0,-0.2659,-0.2974,-0.375,-0.3853,-0.0711,0.5273,-0.00946999,-0.4565,-0.774,-0.00959,0.3765,-0.3953,-0.388,0.0,0.0,-0.3892,0.0,-0.3018,-0.01203,-0.4453,-0.01069,-2.0,0.0,-0.5,0.1954,0.1658,0.068,-0.5,0.0,0.0,0.0,0.0,-0.005108,-0.0413948,,,
