ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error,Adjusted_LSTM_Predictions
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.403,0.0,-0.5786,-0.4458,-0.1458,0.02582,-0.1138,1.349,1.3921,-0.0379,-2.219,-0.1766,1.905,-0.3064,-0.2554,0.0,-1.0,-0.2808,0.0,-0.388,0.1705,-0.1333,0.004463,0.0,-0.5,-0.6665,0.577,-0.0357,0.5293,0.0,0.0,0.0,0.0,0.0,-0.0016165,-0.3102919999999999,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.319,0.0,-0.578,0.2744,-0.1458,0.02582,-0.1138,1.349,-0.9989,-0.0379,1.392,-2.217,-0.1765,-0.3105,-0.2554,0.0,-1.0,-0.2808,0.0,-0.4338,0.1705,-0.1333,-0.289,-1.0,-1.0,-0.6665,0.577,-0.0357,0.5293,-0.5,1.0,0.0,1.0,-2.273,-0.3337,-0.1258612,,,
0.567,-0.3196,-1.07,-0.663,-2.19,-1.0,-0.92,0.0,0.0,1.383,1.278,1.319,0.0,-0.5776,-0.4316,-0.1458,0.02582,-0.1138,1.349,-0.0427499999999999,-0.0379,-0.999,1.391,-2.215,-0.3052,-0.2554,0.0,-1.0,-0.2808,0.0,-0.4333,0.1705,-0.1333,-0.004803,-2.0,-1.0,-0.6665,0.577,-0.0357,0.5293,-0.5,0.0,0.0,0.0,0.0,-0.012405,0.3017919999999999,,,
0.567,0.0911,-1.07,-0.663,-2.19,-0.875,-0.92,1.0,0.0,1.383,1.278,1.413,0.0,-0.577,0.3352,-0.1458,0.02582,0.235,1.376,1.0441,-0.0379,-0.04285,-0.998,1.39,-0.2998,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3767,0.1705,-0.2455,0.1449,-1.0,-0.5,-0.3333,0.1652,0.3682,0.5293,0.0,0.0,1.0,0.0,3.168,0.1602,1.0722856,,,
0.57,0.743,-1.07,-0.663,4.164,-0.75,-0.92,1.0,0.0,1.383,1.278,1.487,1.0,-0.5806,0.865,-0.1458,0.02582,0.9126,1.322,1.5931,-0.0379,1.044,-0.04282,-0.997,-0.296,-0.2554,0.0,-1.0,-0.2808,0.0,-0.2842,0.2108,-0.2612,0.07263,0.0,0.0,-0.3333,-0.3513,0.9263,0.5293,0.5,0.0,1.0,0.0,5.207,0.0749,0.7210156000000001,,,
0.4688,1.111,-1.07,-0.663,0.6367,-0.625,-0.92,1.0,0.0,1.383,1.278,1.487,1.0,-0.5806,0.608,-0.1458,0.02582,1.299,1.252,0.9061,-0.0379,1.593,1.043,-0.0428,-0.2861,-0.2554,0.0,-1.0,-0.2808,0.0,-0.2334,0.1699,-0.2102,0.03943,0.0,0.5,-0.3333,-0.5664,1.184,0.5293,1.0,0.0,0.0,0.0,0.0,0.03583,-0.638232,,,
0.4985,0.745,-1.07,-0.663,-0.2544,-0.5,-0.92,1.0,0.0,1.383,1.278,1.43,0.0,-0.58,0.4106,-0.1458,0.02582,0.9644,1.257,-0.6889,-0.0379,0.906,1.591,1.042,-0.2688,-0.2554,0.0,-1.0,-0.2808,0.0,-0.278,0.1442,-0.1953,-0.01715,0.0,0.0,-0.3333,-0.2203,0.857,0.5293,-0.5,1.0,0.0,0.0,0.0,-0.0256,-0.4375080000000002,,,
0.5747,0.506,-1.07,-0.663,-0.2307,-0.375,-0.92,1.0,0.0,1.383,1.278,1.395,0.0,-0.5796,-0.02254,-0.1458,0.02582,0.765,1.259,-0.4357,-0.0379,-0.689,0.9053,1.59,-0.2605,-0.2554,0.0,-1.0,-0.2808,0.0,-0.3047,0.12317,-0.1813,-0.01068,0.0,-0.5,-0.3333,0.003447,0.6597,0.5293,-0.5,2.0,0.0,0.0,0.0,-0.01877,0.3560528,,,
0.682,0.6714,-1.07,-0.663,0.4387,-0.25,-0.92,1.0,0.0,1.383,1.278,1.44,0.0,-0.5786,0.627,-0.1458,0.02582,0.967,1.268,0.4855,-0.0379,-0.4358,-0.6885,0.9043,-0.2446,-0.2554,0.0,0.0,-0.2808,0.0,-0.2764,0.1857,-0.232,0.01116,0.0,0.0,0.0,-0.1915,0.7334,0.5293,0.0,0.0,1.0,0.0,2.514,0.005043,-0.2796887999999999,,,
0.563,0.9224,-1.07,-0.663,0.502,-0.125,-0.92,1.0,0.0,1.383,1.278,1.487,1.0,-0.5806,0.1611,-0.1458,0.02582,1.349,1.243,0.8717,0.001725,0.4854,-0.4353,-0.688,-0.2239,-0.2554,0.0,0.0,-0.2717,0.0,-0.2211,0.6016,-0.6055,0.0082,0.0,0.5,0.3333,-0.4487,0.985,0.732,0.5,0.0,0.0,0.0,0.0,0.001654,-0.7120720000000001,,,
