ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT,RF_Predictions,LSTM_Predictions,Prediction_Error
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,1.107,1.0,-0.2617,1.318,-0.4504,-0.4517,-0.3494,0.988,-0.78699999,-0.464,-0.787,-0.7866,-0.7866,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.01461,-0.6284,0.1367,-0.0218,-2.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,0.0,0.0,0.0,0.0,-0.0515,-0.5539240000000003,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,1.052,0.0,-0.2615,0.2708,-0.4504,-0.4517,-0.3494,0.988,-0.78699999,-0.464,-0.787,-0.7866,-0.7866,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.0245,-0.6284,0.1367,-0.0218,-2.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,1.0,0.0,0.0,0.0,-0.0515,-0.3682600000000001,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,1.024,0.0,-0.261,0.2976,-0.4504,-0.4517,-0.3494,0.988,-0.40599999000000003,-0.464,-0.787,-0.7866,-0.7866,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.02834,-0.6284,0.1367,-0.014984,-2.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,2.0,0.0,0.0,0.0,-0.03653,-0.3826719999999999,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.969,0.0,-0.2605,-0.2404,-0.4504,-0.4517,-0.3494,0.988,-0.8246999899999999,-0.464,-0.406,-0.7866,-0.7866,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.03326,-0.6284,0.1367,-0.04797,-2.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,3.0,0.0,1.0,-6.152,-0.1188,-0.106428,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.969,0.0,-0.2603,-0.835,-0.4504,-0.4517,-0.3494,0.988,1e-08,-0.464,-0.8247,-0.4058,-0.7866,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.03235,-0.6284,0.1367,0.0,-2.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,0.0,0.0,0.0,0.0,0.0,0.115204,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.9966,0.0,-0.2598,-0.2595,-0.4504,-0.4517,-0.3494,0.988,0.42580001,-0.464,0.0,-0.824,-0.4058,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.02623,-0.6284,0.1367,0.01706,-1.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,1.0,0.0,0.0,0.0,0.0,0.04364,-0.0839599999999999,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.969,0.0,-0.2595,-0.835,-0.4504,-0.4517,-0.3494,0.988,-0.41899999,-0.464,0.4258,0.0,-0.824,-0.543,-0.563,0.0,-1.0,-0.553,0.0,-0.03023,-0.6284,0.1367,-0.01892,-1.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,1.0,0.0,0.0,0.0,-0.04758,0.306728,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.9966,0.0,-0.259,-0.8447,-0.4504,-0.4517,-0.3494,0.988,0.42580001,-0.464,-0.419,0.4255,0.0,-0.5454,-0.563,0.0,-1.0,-0.553,0.0,-0.0251,-0.6284,0.1367,0.006275,0.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,1.0,0.0,0.0,0.0,0.0,0.01605,0.4815279999999999,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.9414,0.0,-0.2588,-0.2206,-0.4504,-0.4517,-0.3494,0.988,-0.8379999899999999,-0.464,0.4258,-0.4187,0.4255,-0.5483,-0.563,0.0,-1.0,-0.553,0.0,-0.03397,-0.6284,0.1367,-0.02643,0.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,1.0,0.0,0.0,0.0,-0.06647,-0.645752,,
-0.1708,-0.3267,-1.069,-0.3855,-0.1813,-0.875,-0.9395,0.0,0.0,2.076,1.836,0.886,0.0,-0.2583,-0.1788,-0.4504,-0.4517,-0.3494,0.988,-0.86569999,-0.464,-0.838,0.4255,-0.4187,-0.552,-0.563,0.0,-1.0,-0.553,0.0,-0.0431,-0.6284,0.1367,-0.013954,0.0,-1.5,-1.333,0.2817,-0.1938,-0.5635,0.0,2.0,0.0,0.0,0.0,-0.0363,1.096728,,
