
2024-04-14 18:41:56,558 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:35,258 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:42:59,744 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:43:56,773 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:45:21,476 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:26,115 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:50:31,168 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:52:00,256 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:53:25,983 - ERROR - Empty DataFrame: No data to process.
2024-04-14 18:56:30,750 - ERROR - Empty DataFrame: No data to process.
2024-04-15 00:04:26,967 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 30.424117481007297, End mean: 1.2170588339076323
2024-04-15 00:04:41,302 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.0, End mean: 0.00011126760282293825
2024-04-15 00:04:45,379 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.498965559334591, End mean: 0.4236034478606849
2024-04-15 00:04:47,551 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 157.92857142857142, End mean: 1.218571424484253
2024-04-15 00:04:53,895 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.5028273409647908, End mean: 0.0034770503650224647
2024-04-15 00:04:56,783 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 556.9230769230769, End mean: 4.144153845615876
2024-04-15 00:04:56,821 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2742.991306470788, End mean: 0.6318695648856785
2024-04-15 00:04:58,257 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 1255.8823529411766, End mean: 0.05869411830516419
2024-04-15 00:04:58,291 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 50.01762927020037, End mean: 9.999999747378752e-05
2024-04-15 00:04:58,330 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 2.5144761732646397, End mean: 0.01053780933309873
2024-04-15 00:04:58,353 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 5.418749988079071, End mean: 0.07893750118091697
2024-04-15 00:05:04,883 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 479805.0, End mean: 1.9080208241939545
2024-04-15 00:05:13,903 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 25244.196428571428, End mean: 0.9091836822276212
2024-04-15 00:05:18,079 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 93.0, End mean: 0.007587278873159118
2024-04-15 00:05:27,565 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 9.927529335021973, End mean: 0.278294118011699
2024-04-15 00:05:30,928 - ERROR - Signs of reverse stock splits detected or high initial prices: Start mean: 0.3030864316740154, End mean: 0.003133333362868882
