Date,Open,High,Low,Close,Volume,EMA,APZ_Upper,APZ_Lower,APZ_Upper%,APZ_Lower%,positive_streak_cumulative,negative_streak_cumulative,Pct_Deviation_Upper,Pct_Deviation_Lower,200MA,Upper_Band,Lower_Band,Breakout_Score,ATR%,ATR%_change,ATR_std,Volume_std,ATR_trigger,Volume_trigger,Oscillator,Trigger_Counter,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,Weighted_Close_Change_Velocity,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_3,percent_change_Close_lag_5,percent_change_Close_lag_10,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_overbought,RSI_oversold,RSI_very_overbought,RSI_very_oversold,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,positive_streak,negative_streak,positive_streak_max,negative_streak_max,is_gap_up,is_gap_down,move_from_gap%,VPT
2021-06-29,2021-06-29,1640.0,1890.0,1640.0,1740.0,2127.0,-0.3837692569281933,-0.4095478404804754,0.4495374027398709,0.02285152490664586,0.0633673492586074,-0.29463680146917526,0.7278350777339228,0.6107787425222538,-0.08004015863476603,-1.8967065925118887,-1.152765375694834,0.2800042587586782,0.009298901604891607,-0.12981476376819012,-0.7267215748177286,-1.1537788460012413,True,False,-0.5926405882354209,True,False,0.0,0.0,0.11334853341947924,0.30048496487775156,0.28471664308907924,False,False,-1.0104221172351755,5.0,0.0,False,False,False,1.1758124,0.98451519,0.23795808440749946,False,9.800990048999545,0.1857175704039308,74.67784376,104.21069675,0.263507570047706,0.057765871716470796,-0.9438070593263594,0.0295858,0.009003412902143269,0.0304878,0.10927152,-0.0408805,-0.00997506,1624.28571429,1790.0,0.0,2.220446049250313e-16,0.15496303319334487,0,-664.33292617,0.3070777060657073,0.22518415592820296,0.22463012092487147,0.0,0.0,-0.6336898373220388,3.0,4.0,5.0,False,False,-0.6201545169408751,0.03060837929472394
2021-06-30,2021-06-30,1775.0,2075.0,1740.0,1875.0,5113.0,-0.26929512748688816,-0.3936917029422579,0.4399504553096505,-0.006947648109534404,0.0570629103728287,-0.20535559300392775,0.7070818948587109,0.9819094352361432,-0.2985424489708817,-1.827706410528566,-1.1298109878415312,0.28571285655867285,0.10359493282205767,-0.15326151062789953,-0.5687476820704704,-1.3079716165597315,True,True,-0.6078145176498583,True,True,0.8416454203742707,0.4466621060451395,0.5588441243169304,0.7578164729414385,0.2594309684115255,True,False,-2.5027345570679973,5.0,0.0,False,True,False,1.09600724,0.91048343,0.7697821631095062,False,-0.39599959793960476,0.7992109763362497,79.36356155,93.05356719,0.5470333587341548,0.10396085815581478,-1.147878966095266,0.07758621,0.01167413409431175,0.0295858,-0.02089552,-0.00983607,0.04030227,1665.0,1804.5,0.0,2.220446049250313e-16,0.18482258715616456,0,-511.83934493,0.48238020357632294,0.22290956849458474,0.22224043878737282,0.0,0.0,0.5523330652716807,4.0,4.0,6.0,False,False,-1.0522371126778836,0.5485892893999841
2021-07-01,2021-07-01,1830.0,2190.0,1675.0,1975.0,7362.0,-0.09140231117711871,-0.2548221348787551,0.31122479603062414,0.023180646817064873,0.10099040930014529,-0.0328143019055744,0.686328711983499,1.2199852072258572,-0.4451518823319352,-1.7439966474866577,-1.0856673047244616,0.27899782969320375,0.10357417732223362,-0.0777669849067926,0.7922933241027139,-1.4828196732775716,True,True,-0.6153283781485451,True,True,0.8436004151844649,0.8933242120902789,0.8618130933075765,1.0954333525130173,0.28211510005426316,True,True,-0.21864107756162046,5.0,1.0,False,True,True,1.05563074,0.85129078,1.1662095762129765,False,-0.3899383796038551,2.224124858178073,77.56351942,85.58076705,0.6894058846301316,0.1609661566340563,-0.5702488393391347,0.05333333,0.01272718414019858,0.07758621,0.0304878,0.10927152,-0.10411622,1729.28571429,1818.83333333,0.0,2.220446049250313e-16,0.2046525826356963,0,-403.2985146899737,0.5648761097931797,0.22063498106096652,0.2198507566498742,0.0,0.0,0.662406742018026,4.0,5.0,7.0,False,False,-1.3139608169200174,0.8187718539565014
2021-07-02,2021-07-02,1975.0,2020.0,1800.5,1875.0,1217.0,0.0003724728178578818,-0.2793057546152561,0.3405912935926052,0.03866161718742031,0.09778671284323544,-0.03828582166586843,0.6655755291082871,0.9771167953764673,-0.31173865190012995,-1.6823512560326404,-1.04428057798758,0.2666199885653759,0.11401147563817055,-0.01742431610415617,0.5097368575457027,-1.6878978814846246,True,False,-0.6371303585870246,True,False,0.005864984430582559,0.004000342046614536,0.5746706498302271,0.763535677186276,0.24118548546586058,True,False,-0.8637970203210408,5.0,1.0,False,True,False,1.1147539,0.89536343,0.7889417468755051,False,-0.38387716126810545,-0.2403518329668318,72.70624712,78.86443465,0.40805246198608247,0.1631281747618436,0.011542991653698292,-0.05063291,0.014125418548089772,0.05333333,0.0295858,-0.02089552,-0.07027027,1781.42857143,1829.16666667,0.0,2.220446049250313e-16,0.24454169508180393,0,-487.40710313,0.4584379283089352,0.2183603936273483,0.21746107451237556,0.0,0.0,-1.0352586845816394,4.0,5.0,6.0,False,False,-0.8932665851881164,0.48255466047225687
2021-07-06,2021-07-06,1845.0,1845.0,1580.0,1590.0,1567.0,-0.11850363920352057,-0.2612163269740351,0.31458290284252144,0.13797080439760498,0.14116669358979997,-0.04375734142616245,0.6448223462330752,0.11925237284147736,0.15942072324314652,-1.6685120030190328,-1.0051123713824615,0.23882953293832238,0.34367048233185465,0.20747181878061055,2.3838788763881893,-1.9395772375188838,True,False,-0.6588652257357455,True,False,0.007819979240776764,0.005333789395486038,-0.25205959764343516,-0.18442335082676253,0.1087647718729549,False,False,-1.7680756521174077,4.0,1.0,False,False,False,1.32294205,1.04760512,-0.30399417926064753,False,-0.37781594293235576,0.6248396183990125,64.93672207,74.26038595,-0.3708397058212501,0.1531143904999697,0.6055832793622895,-0.152,0.0377741544899814,-0.05063291,0.07758621,0.0304878,-0.0755814,1769.28571429,1825.5,0.0,2.220446049250313e-16,0.165329800538866,0,-765.5792625,0.3421026559829785,0.2160858061937301,0.21507139237487694,0.0,0.0,-1.6668851545250858,3.0,5.0,6.0,False,False,0.38031661150359136,-0.5139597278849054
2021-07-07,2021-07-07,1630.0,1650.0,1550.0,1560.0,577.0,-0.24501018060550955,-0.3823311359311175,0.4272936924832268,0.08872532987999683,0.08844970984152262,-0.04922886118645648,0.6240691633578637,0.008367802135337556,0.2015947775883663,-1.665704935799375,-0.9685270402502764,0.209215861222593,0.15388217628875217,0.2248761629301511,-0.07821386494458733,-2.076164266775348,True,False,-0.6805750754803496,True,False,0.009774974050970942,0.006667236744357555,-0.24381141882311327,-0.2759724254304585,-0.06287700435873492,False,False,-0.6300400508063275,3.0,1.0,False,False,False,1.34779716,1.06808104,-0.41046867235655354,False,-0.37175472459639414,-1.1311524098526107,52.22444723,71.48429255,-0.4283719902465395,0.14362779280325583,0.8709566515672331,-0.01886792,0.059085522204185746,-0.152,0.05333333,0.0295858,-0.0408805,1757.85714286,1820.0,0.0,2.220446049250313e-16,0.0785957371334633,0,-792.79073828,0.2799533101194591,0.2138112187601119,0.2126817102373783,0.0,0.0,-0.7901106519992542,2.0,5.0,5.0,False,False,0.3659749998675789,-0.6653823934989422
2021-07-08,2021-07-08,1715.0,2479.494011822637,1621.0,2170.0,36437.0,0.08076945795818262,0.009444185363557223,0.05469263836984054,0.07015133202192476,0.17632887485506926,0.6129561270676329,0.6033159804826518,1.6253313462006842,-0.7163718354316776,-1.5277535926039167,-0.8954940160305607,0.19791229428323215,0.5881739681313444,0.0473443336527883,-1.8632022059447437,-2.1219120801715365,True,True,-0.4306374483034244,True,True,0.8514203944252416,0.45332934278949705,1.67457671130638,1.7659269595244909,0.05224353541800783,True,True,-2.5827408734747346,4.0,2.0,False,True,True,0.98780579,0.75215734,1.9588816030440392,False,-0.3656935062606445,4.753128309755178,61.05038646,75.78408851,0.7776531983742944,0.34400782267095287,0.9464789485361885,0.39102564,0.09085514666140519,-0.01886792,-0.05063291,0.07758621,-0.00983607,1826.42857143,1832.83333333,0.0,2.220446049250313e-16,0.11347007033792694,0,-403.2985146899737,0.6601892475093046,0.21153663132649367,0.21029202809987968,0.0,0.0,43.71703897585932,2.0,6.0,6.0,False,False,-1.6389184017404683,1.6064169683035419
2021-07-09,2021-07-09,2020.0,2100.0,1787.0,2095.0,5787.0,0.32428371045281257,0.24521576881262258,-0.16693034080477112,0.17587281101053426,0.2677072476529414,0.6074846073073389,0.5825627976074399,1.458407234116909,-0.6402030943797159,-1.4081892257316884,-0.8171171114372072,0.17549320933281198,0.1656639269206926,0.14774568541314537,0.8597753261684822,-2.1151610311003872,True,False,-0.44974375593844457,True,False,0.013684963671359324,0.009334131442100588,1.323897158307907,1.5122450641537022,0.19034806272968907,True,True,-0.7071829696906702,5.0,3.0,False,True,True,1.03287385,0.77221923,1.6783256793269667,False,-0.3596322879248948,0.3598020563400474,70.27581379,79.02847197,0.5756513932703751,0.34975158884046065,0.542270033752986,-0.03456221,0.13597386664323494,0.39102564,-0.152,0.05333333,0.10927152,1877.14285714,1841.33333333,0.0,2.220446049250313e-16,0.16714982569855552,0,-403.2985146899737,0.6859580165321658,0.20926204389287548,0.20790234596238102,0.0,0.0,-1.587200929579699,1.0,5.0,6.0,False,False,-1.3378093574149352,1.2792954407205386
2021-07-12,2021-07-12,2010.0,2479.494011822637,2010.0,2200.824029005709,89701.0,1.045830226031854,1.5068191992560187,-1.5614623615424048,0.4812085445019725,0.6420381603999035,0.6020130875470449,0.561809614732228,2.852471873481607,-1.2652560241202497,-1.1406096994573967,-0.6505095034943386,0.13268663775018327,0.99059508118194,0.19428015545939942,0.22890936337128526,-1.9456046837865768,True,True,0.2623377598646801,True,True,0.8553303840456299,0.45599623748724005,3.1350365293677753,3.810384947003077,0.6133984296639736,True,True,0.20897672256019512,6.0,4.0,False,True,True,0.81636431,0.54409089,2.0972832092021814,False,-0.3535710695889332,8.231361471434145,184.83868866,156.48150804,0.9425401096555245,0.9164429610204383,0.8566372319023281,0.33174224,0.6616706070184449,-0.03456221,-0.01886792,-0.05063291,-0.02089552,2007.85714286,1872.5,0.0,2.220446049250313e-16,0.4038690233791891,0,-403.2985146899737,0.9080560439555625,1.0,0.2055126638248824,0.0,0.0,46.06497380420343,2.0,6.0,7.0,False,False,-2.5489848234531216,2.7064834404500195
2021-07-13,2021-07-13,2254.2117213741576,2479.494011822637,2033.4130220750633,2200.824029005709,70077.0,1.3496633200965231,1.5084066248410384,-1.562100761549088,1.0161691166190003,1.066357854176349,0.5965415677867508,0.5410564318570161,1.7973634972010768,-0.8993024437954777,-0.9631263571669743,-0.4395800757178021,0.02023185703641181,0.8415211842033289,0.8198380036100884,4.693747953688968,-1.6465082745806867,True,True,0.511550617886614,True,True,0.8572853788558241,0.9026583435323795,1.4279573640804788,2.168138754039469,0.8916126038853522,True,True,-0.8444830933557248,7.0,5.0,False,True,True,1.04102143,0.6132264,2.106863001085181,False,-0.34750985125318357,8.961430944811006,263.44883729,219.24423204,-0.2749165771530044,1.0409368682390736,1.1220106042909985,-0.17562724,0.7450347083397717,0.33174224,0.39102564,-0.152,0.0304878,2054.28571429,1888.0,0.0,2.220446049250313e-16,0.4976670126729695,0,-403.2985146899737,0.737839047801375,0.20471286902563904,0.20312298168738377,0.0,0.0,-26.28513578738189,2.0,5.0,7.0,False,False,-1.1509776340754763,1.8073931630055502
