ATR%,14ma%,200ma%,14ma-200ma,14ma%_change,14ma%_count,200ma%_count,14ma_crossover,200ma_crossover,200DAY_ATR%,200DAY_ATR-%,percent_from_high,new_high,days_since_high,percent_range,VWAP_std14,VWAP_std200,VWAP%,VWAP%_from_high,percent_change_Close,pct_change_std,percent_change_Close_lag_1,percent_change_Close_lag_2,percent_change_Close_lag_3,percent_change_Close_7,percent_change_Close_30,percent_change_Close>std,percent_change_Close<std,pct_change_std_rolling,days_since_abnormal_pct_change,VWAP_Divergence,RSI,RSI_Divergence,EFI,direction_flipper_count5,direction_flipper_count_10,direction_flipper_count_14,KC_UPPER%,KC_LOWER%,B%,positive_streak,negative_streak,is_gap_up,is_gap_down,move_from_gap%,VPT
0.5825,1.04,0.387,0.0,1.096,-0.875,-1.465,0.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,1.059,-0.03497,-0.2937,1.041,0.4128,1.6,-0.2278,0.847,0.3618,-0.3464,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.46,0.52,-1.012,1.769,1.0,0.5,0.0,-0.4866,0.7754,0.2324,1.0,0.0,0.0,0.0,0.0,4.348
0.5825,1.04,0.387,0.0,1.096,-0.875,-1.465,0.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,0.6665,-0.03497,-0.2937,1.041,0.4128,1.451,-0.2278,1.6,0.8467,0.3616,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.4385,0.52,-1.012,1.436,1.0,1.0,0.0,-0.4866,0.7754,0.2324,1.5,0.0,1.0,0.0,4.367,3.45
0.5825,1.04,0.387,0.0,1.096,-0.875,-1.465,0.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,1.369,-0.03497,-0.2937,1.041,0.4128,1.448,-0.2278,1.451,1.599,0.846,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.418,0.52,-1.012,1.831,2.0,1.5,0.0,-0.4866,0.7754,0.2324,2.0,0.0,0.0,0.0,0.0,4.27
0.5825,1.04,0.387,0.0,1.096,-0.875,-1.465,1.0,0.0,-0.3416,-0.3777,0.64,0.0,-0.4517,1.535,-0.03497,-0.2937,1.041,0.4128,-1.562,-0.2278,1.448,1.45,1.598,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.4485,0.52,-1.012,-1.731,1.0,1.0,0.0,-0.4866,0.7754,0.2324,-0.5,1.0,0.0,0.0,0.0,-3.803
0.5825,1.948,0.387,0.0,1.096,-0.75,-1.465,1.0,0.0,-0.3416,-0.3777,0.7925,1.0,-0.4543,1.467,-0.03497,-0.2937,1.976,0.3567,2.26,-0.2278,-1.562,1.447,1.449,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.4114,0.52,-1.119,1.725,1.0,1.5,0.3333,-1.0625,1.52,0.2324,0.0,0.0,0.0,0.0,0.0,4.027
0.6846,1.533,0.387,0.0,-0.0981,-0.625,-1.465,1.0,0.0,-0.3416,-0.3777,0.736,0.0,-0.4517,1.381,-0.03497,-0.2937,1.586,0.3862,-0.63,-0.2278,2.26,-1.561,1.446,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.425,0.5034,-1.117,-0.5107,0.0,1.0,0.3333,-0.7173,1.147,0.2324,-0.5,1.0,0.0,0.0,0.0,-1.06
0.7993,1.454,0.387,0.0,0.08856,-0.5,-1.465,1.0,0.0,-0.3416,-0.3777,0.7593,0.0,-0.449,1.165,-0.03497,-0.2937,1.561,0.4146,0.1552,-0.2278,-0.6294,2.26,-1.56,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.4233,0.6772,-1.132,0.0895,0.0,1.0,0.6665,-0.6636,1.097,0.2324,0.0,0.0,0.0,0.0,0.0,0.269
0.83,0.778,0.387,0.0,-0.3757,-0.375,-1.465,1.0,0.0,-0.3416,-0.3777,0.6406,0.0,-0.4463,1.125,-0.03497,-0.2937,0.937,0.4363,-1.239,-0.2278,0.1554,-0.629,2.258,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.4458,0.4294,-1.092,-0.654,-1.0,1.0,0.3333,-0.1534,0.5684,0.2324,-0.5,1.0,0.0,0.0,0.0,-1.383
0.777,0.8936,0.387,0.0,0.3022,-0.25,-1.465,1.0,0.0,-0.3416,-0.3777,0.711,0.0,-0.4436,1.209,-0.03497,-0.2937,1.073,0.4753,0.6265,-0.2278,-1.239,0.1553,-0.629,-0.874,-0.8755,0.0,-1.0,-0.893,0.0,-0.4353,0.74,-1.132,0.379,0.0,1.0,0.6665,-0.316,0.7646,0.2324,0.0,0.0,0.0,0.0,0.0,0.929
0.898,0.442,0.387,0.0,-0.3926,-0.125,-1.465,1.0,0.0,-0.3416,-0.3777,0.6475,0.0,-0.441,0.1032,-0.03497,-0.2937,0.578,0.525,-0.703,-0.2278,0.627,-1.238,0.1552,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.4485,0.583,-1.132,-0.5425,-1.0,0.5,0.3333,-0.002872,0.487,0.2324,-0.5,1.0,0.0,0.0,0.0,-1.144
0.9175,0.1178,0.387,0.0,-0.544,0.0,-1.465,1.0,0.0,-0.3416,-0.3777,0.607,0.0,-0.4382,-0.02571,-0.03497,-0.2937,0.2236,0.5674,-0.4758,-0.2198,-0.7026,0.6265,-1.237,-0.874,-0.8755,0.0,0.0,-0.893,0.0,-0.457,0.4905,-1.126,-0.3604,-1.0,0.0,0.0,0.1874,0.307,0.1277,-0.5,2.0,0.0,0.0,0.0,-0.743
