Ticker,Cluster,mean_intragroup_correlation,diff_to_mean_group_corr,correlation_0,correlation_1,correlation_2,correlation_3,correlation_4,correlation_5,correlation_6,correlation_7
ATGE,4,0.1117,0.03788,0.2835,-0.00911,0.20974,-0.00459,0.14958,0.07465,0.01562,0.26538
AFYA,6,0.01212,-0.00972,0.01539,-0.00071,0.00435,0.00029,0.00653,0.00188,0.00241,0.0106
CFFN,0,0.21347,0.3167,0.53017,-0.00055,0.30552,-0.00799,0.20684,0.10586,0.02082,0.38278
MSI,2,0.16715,0.15195,0.37125,-0.00825,0.3191,-0.00893,0.20721,0.13919,0.02023,0.41153
CLLS,6,0.01212,-0.00708,0.00483,-0.00665,0.00514,-0.00043,0.00252,-0.00027,0.00504,0.00785
OGI,3,-0.00439,0.00411,-0.02619,-0.0003,-0.01181,-0.00028,-0.00822,0.01399,-0.00177,-0.01886
LEU,4,0.1117,-0.02515,0.12078,-0.00462,0.11166,-0.00419,0.08655,0.06514,0.01124,0.14172
EVLV,6,0.01212,-0.0067,0.0435,-0.00071,0.03653,-0.00183,0.02118,0.0194,0.00542,0.03976
NFLX,4,0.1117,0.01301,0.15803,-0.0169,0.16737,-0.00292,0.12471,0.07001,0.01058,0.20939
WABC,0,0.21347,0.40715,0.62061,-0.01471,0.35902,-0.01158,0.2394,0.07142,0.02705,0.46192
CFR,0,0.21347,0.4121,0.62557,-0.00353,0.37336,-0.01158,0.24871,0.08336,0.02919,0.4949
GLSI,3,-0.00439,0.0061,-0.00266,-0.00351,-0.01473,0.00171,-0.00963,-0.0048,-0.00174,-0.01987
UTMD,4,0.1117,0.0212,0.25373,-0.01329,0.18004,-0.0029,0.1329,0.05636,0.01043,0.21918
NYXH,6,0.01212,-0.00758,0.01148,0.00523,0.00445,-0.00128,0.00246,0.01104,0.00454,0.00555
HPH,6,0.01212,-0.00714,0.00596,-0.01385,0.00445,-0.00102,0.00209,0.01594,0.00498,-4e-05
CATX,6,0.01212,-0.00541,0.08056,0.0021,0.05554,-0.00215,0.04467,0.02942,0.00671,0.0727
WEAV,6,0.01212,-0.00951,0.03206,-0.01743,0.0349,-0.00189,0.02197,0.02375,0.00261,0.04418
KMB,4,0.1117,0.02443,0.23702,-0.00164,0.21827,-0.00752,0.13613,0.13085,0.01492,0.27015
DDS,2,0.16715,0.08768,0.33734,0.00562,0.25483,-0.00802,0.1661,0.07934,0.0186,0.32728
CCB,3,-0.00439,0.0057,0.00729,-0.00202,0.0029,0.00132,-0.00147,-0.00408,-0.001,0.00485
FATE,3,-0.00439,0.00587,-0.00133,0.01341,-0.0018,0.00148,0.00075,-0.01367,0.00088,-0.00213
PCRX,3,-0.00439,0.00496,0.00499,0.00081,0.0009,0.00057,0.00278,0.01103,-0.00035,0.0019
BLCO,3,-0.00439,0.00649,-0.00966,-0.0467,-0.00699,0.00211,-0.00197,0.01023,-0.00122,-0.01119
PGRU,3,-0.00439,0.00731,-0.0473,-0.02642,-0.03775,0.00292,-0.02214,-0.02146,7e-05,-0.04175
SWAV,6,0.01212,-0.00829,0.01879,0.01564,0.00698,0.00133,0.00339,-0.0068,0.00383,0.00625
FIS,7,0.21639,0.21796,0.40603,0.02138,0.33163,-0.00911,0.21685,0.15343,0.0241,0.43436
SNY,2,0.16715,0.10243,0.30563,-0.00717,0.26958,-0.00936,0.18169,0.11651,0.02165,0.34428
DSCSY,6,0.01212,-0.00702,0.00841,-0.00871,0.02804,0.00016,0.01889,0.02849,0.0051,0.03729
NYCB,2,0.16715,0.09687,0.43534,-0.00225,0.26403,-0.00956,0.17393,0.07352,0.02486,0.34509
RPD,3,-0.00439,0.00593,-0.01912,-0.01748,-0.01679,0.00154,-0.01001,0.01063,-0.00103,-0.02214
CSLLY,2,0.16715,0.13233,0.34562,-0.00933,0.29948,-0.00815,0.20034,0.18156,0.02159,0.38728
YMM,3,-0.00439,0.00752,-0.00426,-0.00148,0.00079,0.00313,0.00361,-0.03013,-0.00426,-0.00653
HSII,2,0.16715,0.09263,0.39209,-0.00109,0.25978,-0.00943,0.17476,0.0549,0.01983,0.32825
OKE,7,0.21639,0.23274,0.40535,-0.0053,0.34189,-0.01113,0.22938,0.20056,0.02499,0.44913
PLMR,6,0.01212,-0.00681,0.01197,-0.00641,0.00754,-0.00146,0.00768,-0.02153,0.00531,0.00819
FTDR,1,0.00861,0.06493,-0.00564,0.07354,-0.01667,0.00028,-0.00934,-0.00368,-0.00279,-0.02079
AMP,7,0.21639,0.36191,0.58976,0.00404,0.43118,-0.01231,0.28323,0.14719,0.02956,0.5783
BP,7,0.21639,0.2153,0.3998,0.00051,0.31994,-0.00755,0.2125,0.16322,0.02367,0.4317
BGY,7,0.21639,0.30888,0.44754,-0.00456,0.39674,-0.01046,0.26533,0.25448,0.02974,0.52527
CABO,6,0.01212,-0.00862,0.00683,-0.03234,0.00381,-0.00069,0.00403,-0.00493,0.0035,0.00586
LZB,7,0.21639,0.20911,0.43943,-0.00116,0.32978,-0.00856,0.21573,0.13463,0.02347,0.4255
HQY,3,-0.00439,0.00622,-0.00149,-0.00674,-0.00237,0.00183,-0.00342,-0.00613,-0.0011,-0.00318
MSEX,2,0.16715,0.11385,0.38083,-0.02417,0.281,-0.00959,0.18596,0.14684,0.02098,0.32922
GCO,2,0.16715,0.13128,0.40784,0.00127,0.29843,-0.00924,0.19292,0.13907,0.02109,0.38455
