Ticker,Cluster,mean_intragroup_correlation,diff_to_mean_group_corr,correlation_0,correlation_1,correlation_2,correlation_3,correlation_4,correlation_5,correlation_6,correlation_7
JHX,2,0.16715,0.13711,0.34118,0.00155,0.30427,-0.00852,0.20112,0.18184,0.02126,0.3978
WF,2,0.16715,0.09842,0.31517,-0.00163,0.26557,-0.00815,0.17334,0.11738,0.02181,0.35109
TMHC,3,-0.00439,0.00626,-0.01666,0.01521,-0.01469,0.00187,-0.01228,-0.01873,-0.00377,-0.01929
TPL,4,0.1117,0.04771,0.27257,0.02935,0.22278,-0.00602,0.15941,0.11799,0.01379,0.29568
TRAK,4,0.1117,0.00368,0.17997,0.00303,0.14768,-0.00359,0.11538,0.07285,0.01093,0.18249
EXK,5,0.11046,0.18893,0.12208,0.01138,0.14672,-0.004,0.10796,0.29939,0.01528,0.17799
URBN,2,0.16715,0.09626,0.34857,0.00684,0.26341,-0.00656,0.17233,0.08626,0.01872,0.33783
TILE,7,0.21639,0.25638,0.50492,-0.00442,0.36155,-0.00945,0.23937,0.15173,0.02584,0.47277
PSNY,6,0.01212,-0.00909,0.01012,-0.00438,0.00365,-0.00078,0.00229,0.00274,0.00303,0.00192
HBB,3,-0.00439,0.00715,-0.00538,-0.01903,-0.01103,0.00276,-0.01265,-0.01688,-0.00236,-0.01193
EL,2,0.16715,0.13971,0.3496,-0.00675,0.30686,-0.00814,0.20034,0.13818,0.02231,0.40191
PCK,5,0.11046,0.23085,0.1172,0.00249,0.14525,-0.00304,0.09277,0.34131,0.00805,0.18293
EXEL,4,0.1117,0.04236,0.24903,-0.00628,0.20136,-0.00651,0.15406,0.05995,0.01644,0.25299
PMTS,1,0.00861,0.03928,0.00283,0.04789,-0.00302,-5e-05,-0.0051,-0.00015,-0.00156,-0.0008
MCK,2,0.16715,0.09326,0.31987,-0.00041,0.26042,-0.00848,0.17719,0.09254,0.0192,0.3304
BNS,7,0.21639,0.31095,0.5043,-0.00514,0.39527,-0.01096,0.25624,0.20948,0.02871,0.52734
HLIO,0,0.21347,0.27048,0.48394,-0.00765,0.34182,-0.01141,0.22931,0.10182,0.02541,0.43953
VBNK,3,-0.00439,0.0075,0.01402,0.00092,0.00107,0.00311,-0.00447,0.02211,-0.00247,-0.00099
YNDX,6,0.01212,-0.00803,0.01247,-0.0372,0.00914,-0.0017,0.00735,-0.00184,0.00409,0.0091
VRDR,3,-0.00439,0.00416,-0.00249,-0.00019,-0.00066,-0.00023,0.0008,-0.01118,-0.00027,-0.00399
CRCT,3,-0.00439,0.00683,-0.01353,0.00647,-0.01506,0.00245,-0.00836,-0.01978,-0.00132,-0.01378
NVDA,2,0.16715,0.11622,0.29052,0.00248,0.28337,-0.00906,0.19707,0.11991,0.02361,0.36665
HELE,2,0.16715,0.13611,0.38481,-0.02271,0.30326,-0.00909,0.20048,0.14431,0.0221,0.38508
MAIN,7,0.21639,0.2415,0.41565,-0.01135,0.3479,-0.0087,0.22579,0.22162,0.02409,0.45789
IMMR,4,0.1117,0.04115,0.25256,-0.00247,0.20338,-0.0075,0.15285,0.07559,0.01659,0.25275
AVTR,3,-0.00439,0.00626,-0.01327,0.01892,-0.00654,0.00187,-0.00585,0.01264,-1e-05,-0.00599
AMKR,2,0.16715,0.14532,0.37477,-0.00307,0.31247,-0.00957,0.2153,0.1506,0.02436,0.40835
LIND,6,0.01212,-0.0114,0.03097,0.01214,0.01593,-0.00098,0.00889,0.01012,0.00073,0.02011
CHPT,3,-0.00439,0.00584,-0.0104,0.00129,-0.00734,0.00145,-0.0042,-0.00742,0.00016,-0.00759
GRWG,3,-0.00439,0.00748,0.01198,-0.00977,0.00341,0.00309,0.00087,0.00261,0.0,0.00575
SYNA,2,0.16715,0.09424,0.30702,0.00716,0.26139,-0.00705,0.18483,0.11676,0.0185,0.33386
RMT,7,0.21639,0.36661,0.55382,-0.00019,0.45038,-0.01197,0.31108,0.25104,0.03447,0.583
PRGS,2,0.16715,0.14388,0.39433,0.00528,0.31104,-0.00978,0.21122,0.10572,0.02254,0.39662
BN,7,0.21639,0.3194,0.47921,0.00683,0.40422,-0.01137,0.26391,0.22611,0.02809,0.53579
LBTYA,2,0.16715,0.13374,0.35451,-0.00775,0.30089,-0.00901,0.20664,0.14755,0.02404,0.38867
GEO,2,0.16715,0.06939,0.31182,-0.00905,0.23655,-0.00809,0.15859,0.12109,0.01941,0.30098
