Column,Mean,StdDev,Min,25th Percentile,Median,75th Percentile,Max,Kurtosis,Skew
percent_change_Close_30,1419.3287,2120.589,7.4865,26.8293,458.1772,2353.9913,10020.1603,0.3213,0.6618
percent_change_Close>std,0.0152,0.0542,0.0,0.0,0.0,0.0118,0.3993,302.8279,7.2038
percent_change_Close<std,0.9845,0.0554,0.5895,0.9876,1.0,1.0,1.0,311.6416,-7.4311
pct_change_std_rolling,1415.1828,2128.7726,7.3457,25.231,453.6131,2335.9755,10172.9164,0.3545,0.6705
days_since_abnormal_pct_change,2.4639,1.7627,0.2109,1.0359,2.148,3.7955,6.039,1.4422,0.132
VWAP_Divergence,-2553.2296,4293.2808,-15376.7092,-2798.0385,-1033.9932,35.3019,10369.7696,0.4368,0.343
RSI,50.1392,16.952,4.6891,38.4459,50.1724,61.8558,95.2646,-0.2577,-0.0039
RSI_overbought,0.1313,0.3237,0.0006,0.0006,0.0056,0.0406,0.9941,5.4164,2.4497
RSI_oversold,0.1283,0.3238,0.0,0.0006,0.0006,0.0313,0.9935,4.9672,2.4225
RSI_very_overbought,0.0129,0.0849,0.0,0.0,0.0,0.0037,0.8795,190.1732,11.5847
RSI_very_oversold,0.0103,0.0834,0.0,0.0,0.0,0.0006,0.925,241.9576,13.1173
EFI,23711.9433,1985189.413,-13775151.6944,-257638.7354,2166.6368,284248.8837,15106536.7067,77.8519,1.2961
direction_flipper_count5,2.2506,1.0901,0.006,1.5889,2.1551,2.9021,4.8971,-0.3686,0.0946
direction_flipper_count_10,4.503,1.5581,0.4051,3.4558,4.5,5.5477,8.9136,-0.238,0.0601
direction_flipper_count_14,6.3041,1.8643,1.2701,5.0446,6.3107,7.5284,11.5905,-0.2069,0.0463
KC_UPPER%,8.3138,22.5776,-19.2718,0.2969,3.8977,8.8242,136.6974,9.6516,1.2562
KC_LOWER%,2.1185,14.6141,-67.9414,-1.4142,2.1683,5.9775,43.4817,8.4909,-0.1942
positive_streak,0.8243,1.1754,0.0025,0.0025,0.204,1.1662,5.4915,3.1396,1.7605
negative_streak,0.853,1.2013,0.0021,0.003,0.2132,1.1451,5.5954,3.1891,1.7613
positive_streak_max,4.6598,1.5399,1.9725,3.5527,4.4238,5.5208,8.7637,0.3803,0.6654
negative_streak_max,4.7336,1.5718,2.0136,3.6468,4.5006,5.6332,8.8137,0.2664,0.669
move_from_gap%,0.8578,14.1514,-26.7005,-0.0104,-0.0057,0.0003,255.6091,117.2518,2.1993
VPT,9790.6062,176787.9393,-988413.9648,-11570.7221,-149.1705,10629.6354,2337883.2766,101.9557,2.647
